,Id,Reviews
0,SBNucLXc9dQP6VBjXOmQ,"The food here is great and so is the friendly staff. Ling and Louie's has everything going for it except the feeling of an Asian restaurant as it's a mix of Southwestern influences...Nothing wrong with that..just not plain Asian..

There are a couple of great choices on the menu especially the Evil Jungle Princess and the chicken and rice soup, and some of the appetizers are downright killers sch as the chicken lettuce cups and the chicken skewers.
.
A word on Houston; the bartender...that guy is bad ass in every sense of  the words...it's just not the same when he is not there...He is cordial, warm, friendly, fuzzy, extremely kind and just a real pro..I can't say enough nice things about him and even the other bartenders there cannot measure up to him...

My first review of Ling and Louie's was a little harsh at first but all my experiences since then have been consistently excellent. The management is top notch and never afraid of any criticism nor to make up for it...

Upgrading my review to four stars because Yay I'm a fan and yes they deserve it..."
1,SBNucLXc9dQP6VBjXOmQ,"Ling & Louie, hmmm, I'm having a bit of hard time to define this place. The menu serves a wide range of Asian foods, Chinese, Japanese, Korean, Thai and Vietnamese (from my first glance of the dishes and its names), then there is a full bar, Happy Hour menu such as Asian fusion 'flatbread' and 'tacos', it just made me more confused, a place serves many kinds of Asian food but nothing is specialized? Just because you put a description of 'asian sauce', makes a taco Chinese? Then there is this interesting looking clock on the wall next to the kitchen, a clock consists '12' on the top as normal, but the rest numbers are replace by a '5', that just made you start singing, 'it is five o'clock somewhere', and 'let's drink'! So yeah, this is a bar with many kinds of Asian fusion foods. Do not come if you are craving for a more authentic asian cuisine, that was my mistake, yeah..."
2,SBNucLXc9dQP6VBjXOmQ,"Last Sunday was our first time at this Asian Grill.  All the beef dishes are made with Filet Mignon. My 81 year young Mother ordered the Mongolian beef and had ""zero"" complaints! What a wonderful concept to use such tender beef since it has to be sliced thin for Asian recipes. The entrees are served over rice instead of on the side. If your used to rice on side they will accommodate your request when ordering. For appetizers, the spicy calamari was a hit with our group of five.  This is served over the best tasting chili asian slaw. It was a hit with our middle schooler too. So were the Siamese spring rolls served with a sweet chili sauce. One order of each appetizers were plenty to share around the table. The miso soup (this was our first) was a dark, mild fishy broth...not our favorite...must be an acquired taste. The Sizzling Blackened Chicken and Pork was cooked in a red curry butter which was mild in flavor.  The meat was tender. Try the wasabi mashed potatoes as an extra side dish...yum! The Buddha's Feast with Chicken was not a favorite. The menu states with a hint of Thai basil though the sauce was over powered with to much basil.  For the lighter diners try the combo Ling Chicken and Rice soup served with Chopstick Chicken salad. The salad dressing is a sesame soy vinaigrette. We certainly enjoyed our food and will return to Ling and Louie's."
3,SBNucLXc9dQP6VBjXOmQ,"Great food - two favorites by far are the Evil Jungle Princess (w/ fillet Mignon & noodles) and the sizzling blackened chicken and pork. The flavor is unreal - they know what they are doing. Everyone comments about how it's not ""real"" Chinese food but I am telling you - it's better. Don't waste your time or money at Flo's or Jade, I have eaten all three many times and Ling is hands down better tasting food."
4,SBNucLXc9dQP6VBjXOmQ,"Always great food and service. Bar staff is fantastic. I love this restaurant. I would recommend if you haven't tried before, that you stop by!"
5,SBNucLXc9dQP6VBjXOmQ,"Had dinner here last week with some friends on the recommendation of others in our condo. Nice outdoor patio. Lettuce wraps and a sushi roll for appetizers. Food was good as well as the service. Will be back next time for happy hour! $5 apps along with beer, wine and cocktail specials. 

For dinner we had pad Thai, surf and turf, salmon and chicken cashew stir fry.  I asked for the chicken stir fry to be a little spicy...it was a lot spicy, so be careful with that request!  Others said their meals were good and there were some comments the appetizers were the best!  I agree!"
6,SBNucLXc9dQP6VBjXOmQ,"Great service and a fun menu! 
Our waitress made her favorite suggestions which we appreciated as it was our first visit there.
It's a must try!!"
7,SBNucLXc9dQP6VBjXOmQ,"I'm not grading this on authenticity... just on taste and value.  As Scottsdale das developed and evolved the hipper cooler places have moved north.  After several places closed between 2008 and 2010, good food was getting harder and harder to find in 85259.   L&Ls has great tasting food, love the Mongolian beef flat-bread and the Honey Walnut Chicken.   The service is excellent and location is great.  Adequate parking and not far from 101 but not buried around 90th and 92nd St.

And Carol, the meatloaf is probably only on the menu for kids (or adults) who choose something safe sounding... don't think its fair to grade them on meatloaf...  I don't critic meatloaf (even when it just 3 stars) on a Asian/fusion/whatever-it-is menu!

For a full menu go here: http://scottsdale.lingandlouies.com/wp-content/themes/WP_Theme_LandL_Scottsdale/images/menu-dinner.pdf"
8,SBNucLXc9dQP6VBjXOmQ,"Fun place,  great HH prices,  and Ashley was an awesome bartender. It was close to closing time and she made sure everyone was taken care of. She wasn't concerned about trying to rush everyone along so she could go home. We will definitely be back."
9,SBNucLXc9dQP6VBjXOmQ,"A great classic local place with top service and consistently great food ... If they offered Beefeaters it would be perfect, but five stars non-the less..."
